"team_abbreviation","team_logo"
"MIA","https://a.espncdn.com/i/teamlogos/nba/500/mia.png"
"DEN","https://a.espncdn.com/i/teamlogos/nba/500/den.png"
"BOS","https://a.espncdn.com/i/teamlogos/nba/500/bos.png"
"LAL","https://a.espncdn.com/i/teamlogos/nba/500/lal.png"
"PHI","https://a.espncdn.com/i/teamlogos/nba/500/phi.png"
"GSW","https://a.espncdn.com/i/teamlogos/nba/500/gs.png"
"NYK","https://a.espncdn.com/i/teamlogos/nba/500/ny.png"
"PHX","https://a.espncdn.com/i/teamlogos/nba/500/phx.png"
"SAC","https://a.espncdn.com/i/teamlogos/nba/500/sac.png"
"MEM","https://a.espncdn.com/i/teamlogos/nba/500/mem.png"
"ATL","https://a.espncdn.com/i/teamlogos/nba/500/atl.png"
"MIL","https://a.espncdn.com/i/teamlogos/nba/500/mil.png"
"CLE","https://a.espncdn.com/i/teamlogos/nba/500/cle.png"
"LAC","https://a.espncdn.com/i/teamlogos/nba/500/lac.png"
"MIN","https://a.espncdn.com/i/teamlogos/nba/500/min.png"
"BKN","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png"
"SAS","https://a.espncdn.com/i/teamlogos/nba/500/sa.png"
"DAL","https://a.espncdn.com/i/teamlogos/nba/500/dal.png"
"NOP","https://a.espncdn.com/i/teamlogos/nba/500/no.png"
"OKC","https://a.espncdn.com/i/teamlogos/nba/500/okc.png"
"UTA","https://a.espncdn.com/i/teamlogos/nba/500/utah.png"
"POR","https://a.espncdn.com/i/teamlogos/nba/500/por.png"
"CHA","https://a.espncdn.com/i/teamlogos/nba/500/cha.png"
"ORL","https://a.espncdn.com/i/teamlogos/nba/500/orl.png"
"IND","https://a.espncdn.com/i/teamlogos/nba/500/ind.png"
"TOR","https://a.espncdn.com/i/teamlogos/nba/500/tor.png"
"HOU","https://a.espncdn.com/i/teamlogos/nba/500/hou.png"
"WAS","https://a.espncdn.com/i/teamlogos/nba/500/wsh.png"
"DET","https://a.espncdn.com/i/teamlogos/nba/500/det.png"
"CHI","https://a.espncdn.com/i/teamlogos/nba/500/chi.png"
"GIA","https://a.espncdn.com/i/teamlogos/nba/500/gia.png"
"LEB","https://a.espncdn.com/i/teamlogos/nba/500/leb.png"
